"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"51","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:38:20,FALSE,NA,"1223797772068868101",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","na_na_se",2929,TRUE,FALSE,NA,NA
"52","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:32:21,FALSE,NA,"1223796264954806274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lehmillion",2929,TRUE,FALSE,NA,NA
"53","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:21:51,FALSE,NA,"1223793624938237952",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nymfoes",2929,TRUE,FALSE,NA,NA
"54","RT @zeeohyi: Christmas and mistletoe traditions ft. blue lions

#fe3h #FireEmblemThreeHouses #merciedue #mercedes #dedue #sylvain #felix #i…",FALSE,0,NA,2020-02-02 02:16:19,FALSE,NA,"1223792231766618112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","orphy_got_leggy",682,TRUE,FALSE,NA,NA
"55","RT @its__samyu2: In love with my Car 🤍😍

#Mercedes Love 💕 https://t.co/tJ3iqumJLi",FALSE,0,NA,2020-02-02 02:12:37,FALSE,NA,"1223791301771939840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ransul3",56,TRUE,FALSE,NA,NA
"56","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:08:23,FALSE,NA,"1223790233235251206",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKunx",2929,TRUE,FALSE,NA,NA
"57","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:06:49,FALSE,NA,"1223789840027643904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","geoguland",2929,TRUE,FALSE,NA,NA
"58","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 01:59:07,FALSE,NA,"1223787900787200001",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sathanatos",2929,TRUE,FALSE,NA,NA
"59","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 01:53:06,FALSE,NA,"1223786387893211136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peachy_viper",2929,TRUE,FALSE,NA,NA
"60","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 01:48:01,FALSE,NA,"1223785110907969536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ennezahard",2929,TRUE,FALSE,NA,NA
"61","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 01:44:58,FALSE,NA,"1223784342364852224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","awilddanbo",2929,TRUE,FALSE,NA,NA
"62","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 01:44:39,FALSE,NA,"1223784260131123201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beneathelm",2929,TRUE,FALSE,NA,NA
"63","RT @GermanCarScene: Someone buy (me) this #Mercedes-Benz 190E 2.5-16 Evolution II (via @Auto_Bear) https://t.co/ucRgDvys19 https://t.co/Suo…",FALSE,0,NA,2020-02-02 01:44:30,FALSE,NA,"1223784225297641475",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eric_Boffin",2,TRUE,FALSE,NA,NA
"64","Can't forget kesha_multi_servicesllc #KMS it's #SuperBowl weekend!! #Miami #Chaffeur #Mercedes #Cadilac… https://t.co/vxUY54MUKa",FALSE,0,NA,2020-02-02 01:40:54,TRUE,NA,"1223783316668788738",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sosicstan",0,FALSE,FALSE,NA,NA
